,IN_p3d,IN_p2d,IN_p1d,IN,MEAN_7d,SD_7d,Prec_S,Prec_S_f1d,Prec_S_f2d,Prec_S_f3d,Snow_S
88,0.0470462147637286,0.0235696928097383,0.0366321162619337,0.0452361587898879,0.0518613969049312,0.0130108871524148,0.0,0.0,0.0,0.0,0
89,0.0564988146033642,0.0470462147637286,0.0235696928097383,0.0366321162619337,0.0479619094946852,0.0116850213590062,0.0,0.0,0.0,0.0,0
90,0.0470112037128666,0.0564988146033642,0.0470462147637286,0.0235696928097383,0.0460604430891765,0.0111062221278063,0.0,0.0,0.0,0.0,0
91,0.055933109728910003,0.0470112037128666,0.0564988146033642,0.0470462147637286,0.0462028016196081,0.0114598873039292,0.0,0.0,0.0,0.0,0
92,0.0659514144429998,0.055933109728910003,0.0470112037128666,0.0564988146033642,0.045217227375794006,0.0140461331412747,0.0,0.0,0.0,0.0,0
93,0.0556852683425449,0.0659514144429998,0.055933109728910003,0.0470112037128666,0.0442316531319797,0.0134164972432786,0.0,0.0,0.0,0.0,0
94,0.0551195634680906,0.0556852683425449,0.0659514144429998,0.055933109728910003,0.0445610443814899,0.006457274487761839,0.0,0.0,0.0,0.0,0
95,0.055968120779772,0.0551195634680906,0.0556852683425449,0.0659514144429998,0.0475203666176487,0.00549171544862865,0.0,0.0,0.0,0.0,0
96,0.0556502572916829,0.055968120779772,0.0551195634680906,0.0556852683425449,0.0502422454863075,0.00548885050936822,0.0,0.0,0.0,0.0,0
97,0.0559331097289099,0.0556502572916829,0.055968120779772,0.0551195634680906,0.0547493698660721,0.00388019576465089,0.0,0.0,0.0,0.0,0
98,0.0351828430249361,0.0559331097289099,0.0556502572916829,0.055968120779772,0.05602392786836401,0.00922886427152477,0.0,0.0,0.0,0.0,0
99,0.0636106646455668,0.0351828430249361,0.0559331097289099,0.0556502572916829,0.0559027053952667,0.00876331680757771,0.0,0.0,0.0,0.0,0
100,0.0823030339893347,0.0636106646455668,0.0351828430249361,0.0559331097289099,0.0571772633975586,0.013929862983787,0.0,0.0,0.0,0.0,0
101,0.0636106646455668,0.0823030339893347,0.0636106646455668,0.0351828430249361,0.0542129395827051,0.0140389054373027,0.0,0.0,0.0,0.0,0
102,0.0647070633436133,0.0636106646455668,0.0823030339893347,0.0636106646455668,0.0538785467545004,0.0141236475726752,0.0,0.0,0.0,0.0,0
103,0.0647070633436132,0.0647070633436133,0.0636106646455668,0.0823030339893347,0.0576810847040418,0.0140582194379294,0.0,0.0,0.0,0.0,0
104,0.0638935170827939,0.0647070633436132,0.0647070633436133,0.0636106646455668,0.058894099157967,0.0138594170880894,0.0,0.0,0.0,0.0,0
105,0.0382568286463428,0.0638935170827939,0.0647070633436132,0.0647070633436133,0.0601425195242301,0.0128595155970635,0.0,0.0,0.0,0.0,0
106,0.0526957392034807,0.0382568286463428,0.0638935170827939,0.0647070633436132,0.0614363489602201,0.0134242653127064,0.0,0.0,0.0,0.0,0
107,0.0538271489523891,0.0526957392034807,0.0382568286463428,0.0638935170827939,0.062573550010775,0.00990689429163735,0.0,0.0,0.0,0.0,0
108,0.0800271621260648,0.0538271489523891,0.0526957392034807,0.0382568286463428,0.0630126908138331,0.013065690085285001,0.0,0.0,0.0,0.0,0
109,0.0621833500939782,0.0800271621260648,0.0538271489523891,0.0526957392034807,0.0614534157506779,0.0129396979435194,0.0,0.0,0.0,0.0009221027406792603,0
110,0.0716709609844758,0.0621833500939782,0.0800271621260648,0.0538271489523891,0.0573854321739714,0.0136657387969462,0.0,0.0,0.001118536306165912,0.0,0
